temperature_K,bit_rate_bits_per_s,Pmin_W
20.0,2.9848079169243212e+16,5.712880337003691e-06
20.0,3.674661940736688e+16,7.0332512277716244e-06
20.0,4.523956232538058e+16,8.658788547091372e-06
20.0,5.5695409058001016e+16,1.0660022893422882e-05
20.0,6.8567829366417656e+16,1.3123786020444397e-05
20.0,8.441534596012958e+16,1.6156978388543172e-05
20.0,1.039255682936711e+17,1.9891207479395775e-05
20.0,1.2794502732078734e+17,2.4488498125920063e-05
20.0,1.5751590570916115e+17,3.0148322623670194e-05
20.0,1.939212572065835e+17,3.71162556538681e-05
20.0,2.387406771860637e+17,4.5694629547372315e-05
20.0,2.939188398646878e+17,5.6255652211890224e-05
20.0,3.6184987596427424e+17,6.925755689745245e-05
20.0,4.454812518844988e+17,8.526448452392218e-05
20.0,5.484416576121026e+17,0.00010497096124679477
20.0,6.751984523072466e+17,0.00012923203332079592
20.0,8.312514989890666e+17,0.00015910036678584323
20.0,1.0233717986325171e+18,0.00019587192169726617
20.0,1.259895277795026e+18,0.0002411421826639942
20.0,1.5510844769528404e+18,0.00029687538548699876
20.0,1.9095738328780849e+18,0.0003654897435794553
20.0,2.350917875457294e+18,0.00044996237206613494
20.0,2.8942661247167396e+18,0.0005539584621240256
20.0,3.563193971228577e+18,0.00068199031032247
20.0,4.386725591048494e+18,0.0008396131031023141
20.0,5.400593278542374e+18,0.0010336659513062157
20.0,6.648787838417277e+18,0.0012725686330309475
20.0,8.185467307068987e+18,0.0015666869202064844
20.0,1.0077306820944577e+19,0.0019287823400927786
20.0,1.2406391590588293e+19,0.0023745658864398156
20.0,1.5273778503907123e+19,0.0029233797053391103
20.0,1.8803880893409165e+19,0.0035990363335008644
20.0,2.3149866718511464e+19,0.0044308519027488735
20.0,2.8500304385181168e+19,0.005454918140544779
20.0,3.5087344559027003e+19,0.0067156683574965586
20.0,4.319679297334165e+19,0.008267805368638723
20.0,5.318051128214197e+19,0.01017867499924803
20.0,6.547168402004689e+19,0.012531188159473381
20.0,8.060361408861361e+19,0.015427418273962908
20.0,9.923286228832505e+19,0.018993030155713735
20.0,1.221677348996788e+20,0.02338273248899153
20.0,1.5040335536380222e+20,0.0287869904996312
20.0,1.851648417912154e+20,0.03544029006943479
20.0,2.279604637318982e+20,0.0436313118671356
20.0,2.8064708463098216e+20,0.05371545694229676
20.0,3.455107294592232e+20,0.06613026725637182
20.0,4.2536577327503743e+20,0.08141441023385441
20.0,5.2367705442046444e+20,0.10023105105609169
20.0,6.44710210732387e+20,0.12339662680048916
20.0,7.937167617217494e+20,0.15191627090908022
20.0,9.771619672696201e+20,0.18702742502220443
20.0,1.2030053494233194e+21,0.2302535304554068
20.0,1.4810460488806708e+21,0.2834701289443785
20.0,1.8233480008684384e+21,0.34898624070958595
20.0,2.2447633784132238e+21,0.4296445507614898
20.0,2.7635770147361627e+21,0.5289447504397611
20.0,3.4022997656780506e+21,0.6511953858646649
20.0,4.188645235435288e+21,0.8017008018680208
20.0,5.156732244854953e+21,0.9869912927322119
20.0,6.34856521630521e+21,1.2151064457705
20.0,7.815856707684091e+21,1.4959439717707959
20.0,9.622271173675075e+21,1.8416891577415206
20.0,1.1846187309026775e+22,2.2673435755268945
20.0,1.4584098829439802e+22,2.7913759864815337
20.0,1.7954801246878267e+22,3.43652368437151
20.0,2.210454629971019e+22,4.230779046047533
20.0,2.721338768375309e+22,5.208604095434435
20.0,3.3502993419772367e+22,6.412425779673193
20.0,4.124626382901331e+22,7.894476836098902
20.0,5.077917243205382e+22,9.719062123613211
20.0,6.2515343536896986e+22,11.965348752524928
20.0,7.696399902471151e+22,14.73080107407775
20.0,9.475205302806547e+22,18.13540957076237
20.0,1.1665131316981984e+23,22.326897135150563
20.0,1.4361196859990715e+23,27.487128632994807
20.0,1.7680381784572013e+23,33.840001855757826
20.0,2.1766702531534548e+23,41.66116224388353
20.0,2.6797460873256894e+23,51.28996289389587
20.0,3.299093687770942e+23,63.14418878324584
20.0,4.0615859883769544e+23,77.73818408374557
20.0,5.0003068424910695e+23,95.70516909137683
20.0,6.155986501483489e+23,117.82471508392494
20.0,7.578768863625915e+23,145.05656921574717
20.0,9.33038717262036e+23,178.5822970813495
20.0,1.1486842567375547e+24,219.85654978105782
20.0,1.414170170289015e+24,270.67017992052973
20.0,1.7410156523040083e+24,333.2279450904246
20.0,2.14340223351485e+24,410.24417031011404
20.0,2.6387891048289296e+24,505.06052014264293
20.0,3.2486706558783745e+24,621.7909905067775
20.0,3.9995090972036694e+24,765.5004112501337
20.0,4.923882631706711e+24,942.424204549055
20.0,6.061898993497547e+24,1160.238934254095
20.0,7.462935686310113e+24,1428.395385073122
20.0,9.187782428863321e+24,1758.5286235975939
20.0,1.1311278765939213e+25,2164.9628333500536
20.0,1.392556128874465e+25,2665.33282819037
20.0,1.7144061358519615e+25,3281.3492109869253
20.0,2.110642679101546e+25,4039.7403770976853
20.0,2.598458104929242e+25,4973.412235342353
20.0,3.1990182847750607e+25,6122.875965713304
20.0,3.938380983288489e+25,7538.0057629445555
20.0,4.848626481239088e+25,9280.202832847315
20.0,5.969249509970703e+25,11425.059535261606
20.0,7.348872892180358e+25,14065.639268384813
20.0,9.047357242349274e+25,17316.514405699225
20.0,1.1138398264826183e+26,21318.73748794231
20.0,1.3712724343984009e+26,26245.961365655392
20.0,1.688203316700366e+26,32311.973839777474
20.0,2.0783838185797468e+26,39779.97372154495
20.0,2.5587435201685787e+26,48973.990791573306
20.0,3.1501247957553214e+26,60292.94515984304
20.0,3.878187145610719e+26,74227.95604954734
20.0,4.7745205385661314e+26,91383.6510173204
20.0,5.8780160722748755e+26,112504.40019769694
20.0,7.23655342286962e+26,138506.61385201896
20.0,8.909078300934106e+26,170518.504583299
20.0,1.0968160052731357e+27,209929.03946370445
20.0,1.3503140378698723e+27,258448.20606331973
20.0,1.6624009789266134e+27,318181.2072688339
20.0,2.0466179993919774e+27,391719.80413842853
20.0,2.519635929317003e+27,482254.77007698826
20.0,3.101978590138087e+27,593714.3356168478
20.0,3.818913304781846e+27,730934.630798326
20.0,4.7015472240221297e+27,899869.5204912015
20.0,5.78817703770128e+27,1107848.9372225262
20.0,7.125950633568367e+27,1363896.920339209
20.0,8.77291280161332e+27,1679123.1609379116
20.0,1.0800523745162496e+28,2067205.0413435271
20.0,1.32967596746621e+28,2544981.084394742
20.0,1.6369930016117018e+28,3133181.5617658915
20.0,2.015337685941735e+28,3857327.9617614252
20.0,2.481126055137755e+28,4748840.343679443
20.0,3.0545682465154193e+28,5846400.625851807
20.0,3.76054539965816e+28,7197630.959199006
20.0,4.629689226627258e+28,8861160.009415537
20.0,5.699711094326076e+28,10909166.801906073
20.0,7.017038286703837e+28,13430512.504610468
20.0,8.6388284427404e+28,16534596.033950135
20.0,1.0635449574860068e+29,20356100.775161833
